runge results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
+-------------+----------------------+-------------------------+------------------------+
|      20     |          6           |            3            |  0.26583291331118275   |
|      20     |          7           |            4            |  0.18520045476405633   |
|      20     |          8           |            5            |  0.15520780887104135   |
|      20     |          9           |            6            |  0.03607373240253664   |
|      20     |          10          |            7            |  0.09574982233084683   |
|      20     |          11          |            8            |  0.01169417529729766   |
|      20     |          12          |            9            |  0.04652463124079542   |
|      20     |          13          |            10           |  0.007861414996846339  |
|      20     |          14          |            11           |  0.024774751396501093  |
|      20     |          15          |            12           |  0.011287084795640445  |
|      20     |          16          |            13           |  0.01130473422699374   |
|      30     |          10          |            7            |  0.10662960496809859   |
|      30     |          11          |            8            |  0.02404257505440699   |
|      30     |          12          |            9            |  0.05642426763717323   |
|      30     |          13          |            10           |  0.004562435839773116  |
|      30     |          14          |            11           |  0.03356713680240553   |
|      30     |          15          |            12           | 0.0036670686074764536  |
|      30     |          16          |            13           |  0.02375322700491611   |
|      30     |          17          |            14           |  0.004083873007555083  |
|      30     |          18          |            15           |  0.011349379882953148  |
|      30     |          19          |            16           |  0.004167145790794469  |
|      30     |          20          |            17           |  0.006508388778181717  |
|      30     |          21          |            18           | 0.0037489297656372322  |
|      30     |          22          |            19           | 0.0037743753399452906  |
|      30     |          23          |            20           |  0.003639186880092571  |
|      30     |          24          |            21           |  0.002225852504222914  |
|      30     |          25          |            22           |  0.003712631670962585  |
|      30     |          26          |            23           | 0.0011460470955697577  |
|      40     |          13          |            10           |  0.004564644182157518  |
|      40     |          14          |            12           |  0.03493382740549056   |
|      40     |          15          |            12           | 0.0015036584821889187  |
|      40     |          16          |            13           |  0.02111043648879629   |
|      40     |          17          |            14           |  0.002623583312347799  |
|      40     |          18          |            15           |  0.012854248826760672  |
|      40     |          19          |            16           | 0.0028335690427279125  |
|      40     |          20          |            17           |  0.020232257186830305  |
|      40     |          21          |            18           |  0.007557652801584713  |
|      40     |          22          |            19           |  0.004723429966430159  |
|      40     |          23          |            20           |  0.002198195058365604  |
|      40     |          24          |            21           | 0.0029597544723147795  |
|      40     |          25          |            22           | 0.0018094850861589684  |
|      40     |          26          |            23           |  0.001889102115065766  |
|      40     |          27          |            24           | 0.0014659120381071977  |
|      40     |          28          |            25           | 0.0011434578194876588  |
|      40     |          29          |            26           | 0.0012752996961090668  |
|      40     |          30          |            26           | 0.0006946848324116406  |
|      40     |          31          |            23           | 0.0009614244425274476  |
|      40     |          32          |            14           | 0.0004721100542199874  |
|      40     |          33          |            30           | 0.0011488331649911476  |
|      40     |          34          |            30           | 0.00031433074829201324 |
|      40     |          35          |            32           | 0.0010350000844624452  |
|      40     |          36          |            31           | 0.00022977952727631923 |
|      50     |          16          |            14           |  0.02157096799013347   |
|      50     |          17          |            14           |   0.0532671810885641   |
|      50     |          18          |            16           |  0.013285926952508298  |
|      50     |          19          |            16           |  0.03826884826202792   |
|      50     |          20          |            18           |  0.008219826138162412  |
|      50     |          21          |            18           |  0.02777625771100678   |
|      50     |          22          |            20           |  0.005159416338670231  |
|      50     |          23          |            20           |  0.020428318760944864  |
|      50     |          24          |            22           |  0.003236357365894782  |
|      50     |          25          |            22           |  0.015128394651935717  |
|      50     |          26          |            24           |  0.002038289750764477  |
|      50     |          27          |            24           |  0.011414386381700226  |
|      50     |          28          |            26           |  0.001315921738591519  |
|      50     |          29          |            22           | 0.0009785400328410354  |
|      50     |          30          |            16           | 0.0008890434463069141  |
|      50     |          31          |            28           |  0.006760305872878236  |
|      50     |          32          |            16           | 0.0008659091797672824  |
|      50     |          33          |            30           |  0.005244324938976752  |
|      50     |          34          |            18           | 0.0005762123045986722  |
|      50     |          35          |            32           | 0.0005340806374929397  |
|      50     |          36          |            16           | 0.0008042513422631403  |
|      50     |          37          |            34           | 0.0004958983230073377  |
|      50     |          38          |            20           | 0.0005859471093537516  |
|      50     |          39          |            36           | 0.00047037890387968684 |
|      50     |          40          |            18           | 0.0008161702463822529  |
|      50     |          41          |            38           | 0.00042893627736362294 |
|      50     |          42          |            22           | 0.0005944269356920884  |
